agency,sectors,project_types,total_records,top_code,top_code_count,second_code,second_code_count,third_code,third_code_count,fourth_code,fourth_code_count,discriminating_input
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Utilities (electricity, gas, telecommunications)",75,B1.3,29,B1.15,8,B2.5 + B5.1,7,B1.24,4,action_type: Operate/Maintain Existing → B1.3
DOE,Environmental Policy and Regulation; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Laws, Policies, Regulations, and Guidance; Research and Development; Utilities (electricity, gas, telecommunications)",74,A11 + A9,34,A11 + A9 + B5.1,12,A1 + A11 + A9,8,A9,5,action_type: Operate/Maintain Existing → A11 + A9
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Urban; Utilities (electricity, gas, telecommunications); Waste Management",74,B5.1,13,B1.15,6,A9 + B5.1,5,B2.5 + B5.1,5,action_type: Operate/Maintain Existing → B5.1
DOE,Materials and Manufacturing; Water and Waste Management,Manufacturing; Waste Management,73,B1.3,23,B5.1,12,B1.31,10,B1.24,7,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Electricity Transmission; Routine Maintenance; Utilities (electricity, gas, telecommunications)",73,B1.3,56,B4.6,6,B1.11 + B1.16 + B1.17 + B1.20 + B1.22 + B1.23 + B1.24 + B1.25 + B1.3 + B1.30 + B1.33 + B1.34 + B1.4 + B1.6 + B1.7 + B1.9 + B2.2 + B2.3 + B2.5 + B3.2 + B4.1 + B4.10 + B4.2 + B4.3 + B4.4 + B4.6 + B4.8 + B5.1 + B5.6 + B6.1,2,B4.9,2,action_type: Operate/Maintain Existing → B1.3
DOE,Agriculture and Natural Resource Management; Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Agriculture; Renewable Energy Production - Biomass; Research and Development; Waste Management,73,A9 + B3.11 + B3.16 + B3.6 + B5.25,12,B3.6,12,A9 + B3.6,10,B3.6 + B3.8,5,action_type: Operate/Maintain Existing → A9 + B3.11 + B3.16 + B3.6 + B5.25
DOE,Environmental Policy and Regulation; Miscellaneous and Emerging Technologies,"Laws, Policies, Regulations, and Guidance; Research and Development",71,A11 + A9,32,A9,13,A1 + A11 + A9,8,A11 + A9 + B5.1,4,action_type: Operate/Maintain Existing → A11 + A9
BLM,Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure,"Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Surface Transportation - Other",70,516 DM 11.9,32,516 DM 11.9 H,9,516 DM 11.5,3,516 DM 11.9 E,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Vegetation and Fuels Management,70,516 DM 11.9,23,516 DM 11.9 C,21,516 DM 11.9 C.4,5,516 DM 11.9.C,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Nuclear; Manufacturing; Nuclear Technology; Research and Development; Waste Management,70,B3.6,50,B1.31,4,B1.31 + B3.6,3,B3.10 + B3.6,3,action_type: Operate/Maintain Existing → B3.6
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Electricity Transmission; Research and Development; Utilities (electricity, gas, telecommunications)",69,A9,10,A11 + A9,5,B3.1,4,A1 + A11 + A9,3,action_type: Operate/Maintain Existing → A9
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",68,B1.22,18,B1.15,13,B2.1,7,B1.3,3,action_type: Operate/Maintain Existing → B1.22
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Renewable Energy Production - Energy Storage; Research and Development,68,B3.6,28,A9 + B3.6,22,A11 + A9 + B3.6,2,B3.6 + B5.1,2,action_type: Operate/Maintain Existing → B3.6
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Other; Land Use or Forest Management Plan; Surface Transportation - Other,67,516 DM 11.9,25,516 DM 11.9 E,12,516 DM 11.9.E,9,516 DM 11.9 A,4,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Utilities (electricity, gas, telecommunications)",66,516 DM 11.9,27,516 DM 6,8,Energy Policy Act 2005 Sec.390(b)(4),7,Energy Policy Act 2005 Sec.390 Cat.3,7,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Other; Research and Development; Waste Management,66,B3.6,34,A9 + B3.6,9,A9,5,A1 + A11 + A9 + B3.6,3,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Waste Management; Water Resources - Other,64,516 DM 11.9,12,Energy Policy Act 2005 Sec.390(b)(2),11,Energy Policy Act 2005 Sec.390,9,Energy Policy Act 2005 Sec.390 Cat.2,7,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Rangeland Management; Vegetation and Fuels Management,64,516 DM 11.9,20,516 DM 2,8,516 DM 11,8,FLPMA 402(h),5,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Renewable Energy Production - Solar; Utilities (electricity, gas, telecommunications); Waste Management",62,B5.1,18,A9 + B5.1,8,A11 + A9 + B5.1,7,A9 + B5.16,4,action_type: Operate/Maintain Existing → B5.1
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Land Use or Forest Management Plan; Public and Recreational Land Use; Waste Management,61,516 DM 11.9,27,516 DM 11.9 H,6,43 CFR 46.210,6,516 DM 11.9 E,4,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Broadband; Land Development - Other; Utilities (electricity, gas, telecommunications)",61,B1.19,23,B4.7,9,B4.9,5,B1.24,3,action_type: Operate/Maintain Existing → B1.19
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Urban; Public and Recreational Land Use; Utilities (electricity, gas, telecommunications)",61,B2.5 + B5.1,18,B5.1,8,A11 + A9 + B2.5 + B5.1,6,B1.32 + B2.5 + B5.1,4,action_type: Operate/Maintain Existing → B2.5 + B5.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Conventional Energy Production - Coal; Research and Development,60,B3.6,21,A11 + A9,12,A9,7,A11 + A9 + B3.6,5,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Surface Transportation - Other,59,516 DM 11.9,43,516 DM 11.9 E,3,Energy Policy Act 2005 Sec.390 Cat.1,2,Energy Policy Act 2005 Sec.390 Cat.4,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Housing; Surface Transportation - Other,59,516 DM 11.9,31,516 DM 11.9 E,7,"DOI Departmental Manual Part 516 Chapter 11.9, E.1",4,516 DM 2,3,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Conventional Energy Production - Offshore Oil and Gas; Research and Development,59,A9,14,A11 + A9,12,A11 + A9 + B3.6,4,B3.6,4,action_type: Operate/Maintain Existing → A9
BLM,Land Development and Urban Planning; Miscellaneous and Emerging Technologies,Public and Recreational Land Use; Research and Development,58,516 DM 11.9,20,516 DM 2,15,43 CFR 46.210,6,516 DM 11,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Environmental Policy and Regulation; Land Development and Urban Planning,"Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use",58,516 DM 11.9,22,516 DM 11.5,8,516 DM 11.9 H,7,516 DM,5,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",58,B5.1,28,B5.22,3,A9 + B2.5 + B3.6 + B5.1,3,A1 + A7 + B5.1,3,action_type: Operate/Maintain Existing → B5.1
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Transportation and Infrastructure,"Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Surface Transportation - Other",57,516 DM 11.9,30,516 DM 11.9 E,9,516 DM 11.9.E,3,"516 Departmental Manual (DM) 516 11.9, E. Realty, ",2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Renewable Energy Production - Other; Research and Development,57,B3.6,21,A9 + B3.6,13,A11 + A9 + B3.6,5,A9,4,action_type: Operate/Maintain Existing → B3.6
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure,"Broadband; Land Use or Forest Management Plan; Utilities (electricity, gas, telecommunications)",56,516 DM 11.9,34,516 DM 11.9 E,7,516 DM 11,2,43 CFR 46.210,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Urban; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",56,B5.1,18,B5.22,9,B2.5 + B5.1,3,A1 + A7 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Nuclear Technology; Utilities (electricity, gas, telecommunications)",56,B1.3,19,B2.1,10,B2.2,10,B1.31,5,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",55,B1.28,11,B1.27,10,B2.5,4,B2.1,4,action_type: Operate/Maintain Existing → B1.28
BLM,Miscellaneous and Emerging Technologies,Research and Development,54,516 DM 2,22,516 DM 11.9,10,43 CFR 46.210,8,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,",3,action_type: Operate/Maintain Existing → 516 DM 2
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Conventional Energy Production - Land-based Oil & Gas; Manufacturing; Research and Development,54,B3.6,28,A11 + A9 + B3.6,7,A9 + B3.6,4,A9 + B3.15 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Conventional Energy Production - Nuclear; Nuclear Technology; Research and Development,54,B3.6,33,A9 + B3.6,5,A9,5,A9 + B3.15 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure,Land Development - Other; Mining - Non-Metallic Minerals; Surface Transportation - Other,53,516 DM 11.9,30,516 DM 2,4,516 DM 11.9 F,4,516 DM 2 A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure,Public and Recreational Land Use; Rangeland Management; Surface Transportation - Other,53,516 DM 11.9,27,516 DM 11.9 G,9,516 DM 11.9. G,3,"Department of Interior Manual 516 11.9, G.2",2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Research and Development; Water Resources - Other,53,516 DM 2,24,43 CFR 46.210,11,516 DM 11.9,9,Departmental (DOI) CX 1.6 (1.e) (BLM NEPA Handbook,2,action_type: Operate/Maintain Existing → 516 DM 2
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Conventional Energy Production - Coal; Manufacturing; Research and Development,53,B3.6,23,A11 + A9 + B3.6,12,A1 + A11 + A9 + B3.6,4,A9 + B3.6,4,action_type: Operate/Maintain Existing → B3.6
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",53,B5.1,11,B5.22,10,B1.3,5,B5.23,4,action_type: Operate/Maintain Existing → B5.1
DOE,Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Waste Management,53,B1.3,32,B4.6,7,B1.17,3,B4.10,2,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management,Agriculture; Ecosystem Management and Restoration; Rangeland Management; Vegetation and Fuels Management,52,FLPMA 402(h),35,516 DM 11.9,10,516 DM 11.9.D.1,3,43 CFR 46.210,2,action_type: Operate/Maintain Existing → FLPMA 402(h)
BLM,Environmental Policy and Regulation; Transportation and Infrastructure,"Electricity Transmission; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",52,516 DM 11.9,21,516 DM 11.9.E,9,516 DM 11.9 E,5,516 DM 11.5 E,4,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",52,516 DM 11.9,36,516 DM,3,516 DM 11.9 E,2,516 DM 11,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Agriculture; Rangeland Management; Water Resources - Irrigation and Water Supply,52,516 DM 11.9,30,516 DM 11.9 D,6,516 DM 2,4,516 DM 2 A,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Rangeland Management; Threatened and Endangered Species Management; Vegetation and Fuels Management,52,516 DM 11.9,14,516 DM 2,5,516 DM 11.9 J,4,"DM 516.9 J, (9) Construction of small protective e",3,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Utilities (electricity, gas, telecommunications); Water Resources - Other",51,B1.3,29,B1.15,3,A1 + B2.5 + B5.1,2,B2.1,2,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Public and Recreational Land Use; Rangeland Management,50,516 DM 11.9,24,516 DM,6,516 DM 2,3,43 CFR 46.210,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Materials and Manufacturing; Transportation and Infrastructure,Ecosystem Management and Restoration; Mining - Non-Metallic Minerals; Surface Transportation - Other,50,516 DM 11.9,23,516 DM 11,7,516 DM 11.9 F,4,"Solid Minerals CX number 10, Disposal of mineral m",4,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Waste Management,50,Energy Policy Act 2005 Sec.390(b)(3),11,Energy Policy Act 2005 Sec.390,9,516 DM 11.9,8,Energy Policy Act 2005 Sec.390(b)(4),6,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Land Use or Forest Management Plan; Public and Recreational Land Use,49,516 DM 11.9,25,516 DM 2,7,516 DM,6,516 DM 11.9 E,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Research and Development; Threatened and Endangered Species Management,49,43 CFR 46.210,18,516 DM 2,11,516 DM 11.9,7,H-1790-1-National Environmental Policy Act Handboo,4,action_type: Operate/Maintain Existing → 43 CFR 46.210
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Public and Recreational Land Use,49,516 DM 11.9,23,43 CFR 46.210,8,516 DM 2,6,516 DM 11.9. A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Coal; Research and Development; Waste Management,49,B3.6,24,A9 + B3.6,8,B3.1,7,B3.1 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Waste Management; Water Resources - Other,48,516 DM 11.9,27,43 CFR 46.210,6,516 DM 2,4,516 DM 11.9 A,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies,Ecosystem Management and Restoration; Public and Recreational Land Use; Research and Development,48,516 DM 11.9,18,43 CFR 46.210,14,516 DM 2,8,516 DM 11,3,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Hydrokinetic; Research and Development; Waste Management,48,A9 + B3.6,14,A9,10,A11 + A9 + B3.6,8,A11 + A9,3,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Land Development - Housing; Renewable Energy Production - Geothermal; Waste Management,48,B5.1,23,B5.19,8,A11 + A9 + B5.1,4,A9 + B5.1,4,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Carbon Capture and Sequestration; Manufacturing; Research and Development,48,A11 + A9 + B3.6,10,B3.6,7,A9 + B3.6,6,A11 + A9,6,action_type: Operate/Maintain Existing → A11 + A9 + B3.6
DOE,Environmental Policy and Regulation,"Laws, Policies, Regulations, and Guidance",48,A5,9,A11 + A9,8,A5 + A6,4,B5.1,4,action_type: Operate/Maintain Existing → A5
DOE,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Research and Development; Water Resources - Other,47,B3.1,25,B3.16,6,B3.6,5,B3.8,3,action_type: Operate/Maintain Existing → B3.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Renewable Energy Production - Biomass; Research and Development; Waste Management,47,B3.6,13,A11 + A9 + B3.6,11,A9 + B3.6,4,A11 + A9,4,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Environmental Policy and Regulation,"Conventional Energy Production - Land-based Oil & Gas; Laws, Policies, Regulations, and Guidance",46,516 DM 11.9,29,43 CFR 46.210,11,516 DM 11.9.B.5,5,"None, No specific categorical exclusion code or so",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Environmental Policy and Regulation; Land Development and Urban Planning; Water and Waste Management,"Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Waste Management",46,516 DM 11.9,24,516 DM 11.9 H,7,516 DM 11.5.H,2,516 DM,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Pipelines,46,516 DM 11.9,10,Energy Policy Act 2005 Sec.390(b)(4),7,Energy Policy Act 2005 Sec.390 Cat.1,7,516 DM 6,6,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Water Resources - Other,45,516 DM 11.9,17,516 DM,8,43 CFR 46.210,7,516 DM 11.9 H,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management",45,516 DM 11.9,23,516 DM 11.9 D,8,516 DM 11.9 D.1,4,43 CFR 46.210,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Vegetation and Fuels Management; Waste Management,45,516 DM 11.9,15,516 DM 2,7,516 DM 11.9 H,5,"BLM Departmental Manual (DM) 516, Chapter 11, 11.5",2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Rangeland Management; Water Resources - Other,45,516 DM 11.9,25,516 DM 2,4,516 DM,3,516 DM 11.9 A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Land Development - Other; Routine Maintenance; Surface Transportation - Other,45,516 DM 11.9,19,516 DM 11.9 E,7,516 DM 11.9 A,5,516 DM 11.9.E,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management",45,B4.11,11,B4.6,10,B1.3,3,B1.19,2,action_type: Operate/Maintain Existing → B4.11
BLM,Materials and Manufacturing; Transportation and Infrastructure,Mining - Non-Metallic Minerals; Surface Transportation - Other,44,516 DM 11.9,20,516 DM 11.9 F,4,516 DM 11,4,516 DM 11.9 S,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Vegetation and Fuels Management; Waste Management,44,516 DM 11.9,17,516 DM 2,5,43 CFR 46.210,4,516 DM 11.9 H,4,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Public and Recreational Land Use; Vegetation and Fuels Management,44,516 DM 11.9,13,43 CFR 46.210,7,516 DM 11.9.C,6,516 DM 2,4,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Other; Surface Transportation - Other,44,B1.3,18,B1.13,11,B1.32,5,B1.11,2,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Public and Recreational Land Use; Threatened and Endangered Species Management,43,516 DM 11.9,22,516 DM 11.9 J.8,3,43 CFR 46.210,3,516 DM 2,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Agriculture; Ecosystem Management and Restoration; Rangeland Management; Threatened and Endangered Species Management,43,FLPMA 402(h),21,516 DM 11.9,11,516 DM 11.9.D.1,4,43 CFR 46.210,2,action_type: Operate/Maintain Existing → FLPMA 402(h)
DOE,Miscellaneous and Emerging Technologies,Nuclear Technology,43,B1.3,30,B2.2,4,B2.5,4,B2.3,3,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Urban; Utilities (electricity, gas, telecommunications)",43,B5.1,10,B2.5 + B5.1,6,B1.15,4,B1.3,3,action_type: Operate/Maintain Existing → B5.1
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Research and Development; Water Resources - Other,43,B3.6,25,B3.1,8,A9,3,A9 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
BLM,,,42,516 DM 11.9,23,516 DM 2,6,43 CFR 46.210,3,Energy Policy Act 2005 Sec.390,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Land Development and Urban Planning,Land Development - Urban,42,B1.3,15,B1.15,9,B1.24,5,B1.15 + B1.24,1,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation,"Conventional Energy Production - Land-based Oil & Gas; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance",41,516 DM 11.9,26,43 CFR 46.210,10,Department of the Interior 516 Departmental Manual,4,516 DM 11.9. B,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Waste Management; Water Resources - Irrigation and Water Supply,41,Energy Policy Act 2005 Sec.390(b)(4),10,516 DM 11.9,9,Energy Policy Act 2005 Sec.390,8,Energy Policy Act 2005 Sec.390 Cat.3,4,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,,,41,B1.3,10,B3.6,8,A9,4,B2.3,2,action_type: Operate/Maintain Existing → B1.3
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Manufacturing; Nuclear Technology; Utilities (electricity, gas, telecommunications)",41,B1.3,28,B1.31,5,B2.5,3,B1.4 + B2.3,1,action_type: Operate/Maintain Existing → B1.3
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Land Development - Other; Surface Transportation - Other; Water Resources - Other,40,516 DM 11.9,22,516 DM 11.9 E,5,516 DM 2,3,516 DM 6,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Nuclear Technology; Research and Development; Water Resources - Other,40,B3.6,23,B1.31,7,B3.1,4,516 DM 2,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Materials and Manufacturing; Water and Waste Management,Manufacturing; Renewable Energy Production - Biomass; Waste Management,40,B5.1,20,B5.22,2,A1 + A9 + B5.1,2,A9 + B1.7 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Renewable Energy Production - Geothermal; Research and Development,40,A9 + B3.1,8,A9,6,A9 + B3.6,4,A1 + A11 + A9,4,action_type: Operate/Maintain Existing → A9 + B3.1
DOE,"Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies",Military and Defense; Nuclear Technology; Research and Development,40,B3.6,18,B1.2,4,B3.1,3,A1 + A9 + B3.6,3,action_type: Operate/Maintain Existing → B3.6
BLM,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Electricity Transmission; Routine Maintenance; Utilities (electricity, gas, telecommunications)",39,516 DM 11.9,22,516 DM,3,516 DM 11.9.E,3,516 DM 11.9 E,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Water Resources - Other,39,Energy Policy Act 2005 Sec.390,26,Energy Policy Act 2005 Sec.390(b)(3),3,Energy Policy Act 2005 Sec.390 Cat.1,3,Energy Policy Act 2005 Sec.390(b)(2),2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management,Agriculture; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Rangeland Management; Threatened and Endangered Species Management,38,516 DM 11.9,14,FLPMA 402(h),12,43 CFR 46.210,4,46 CFR 46.215 and the National Environmental Polic,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Surface Transportation - Other,38,516 DM 11.9,27,516 DM 11,3,"BLM Manual H-1790-1, Appendix 4, (J)(7) which stat",2,516 DM 2,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Urban; Renewable Energy Production - Solar; Utilities (electricity, gas, telecommunications); Waste Management",38,B5.1,7,A11 + A9 + B5.1,5,B2.5 + B5.1,4,A9 + B5.1,3,action_type: Operate/Maintain Existing → B5.1
