ce_code_normalized,authority_cfr,plain_language_description,record_count_in_nepatec,agencies,indoor_only,acreage_threshold,requires_gis_extraordinary_circumstances_check,applicable_sectors,applicable_project_types
A9 + B3.6 + B5.1,"A9, B3.6, B5.1","A9, B3.6, B5.1",153,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Other; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; High Performance Co
B3.6 + B5.1,"B3.6, B5.1","B3.6, B5.1",148,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Conventional Energy Produ
A1 + A9,"A1,A9","A1,A9",139,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,Agriculture; Artificial Intelligence and Machine Learning; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Ga
"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,","BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4, CXAP3_1.7 DOI Routine and con","BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4, CXAP3_1.7 DOI Routine and continuing government business, including s",138,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Habitat Conservation Plan; Land Devel
A1 + A9 + B3.6,"A1, A9, B3.6","A1, A9, B3.6",132,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrast",Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Gas; Conventional Energy P
Energy Policy Act 2005 Sec.390 Cat.2,Energy Policy Act 2005 §390(b)(2),Routine road maintenance on existing roads,130,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Rural Energy; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Mining - Non-Metallic 
A11 + A9 + B2.5 + B5.1,"A9, A11, B2.5, B5.1","A9, A11, B2.5, B5.1",129,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,Agriculture; Aviation - Airports and Air Traffic; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; 
Energy Policy Act 2005 Sec.390(b)(1),Energy Policy Act 2005 §390(b)(1),Surface disturbance < 5 acres; ≤150 acres total disturbed on lease,127,BLM,No,5 acres,Yes,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Nuclear Technology; Pipelines; Public and Recreational Lan
B4.7,DOE 10 CFR 1021 App.B §B4.7,Upgrade/rebuild of transmission lines involving minimal new ROW,125,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Broadband; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urban; Manufacturing; Mil
516 DM 11.9. A,"516 Departmental Manual (DM) 2, Appendix 1, or 516 DM 11.9. Appendix 3, Departme","516 Departmental Manual (DM) 2, Appendix 1, or 516 DM 11.9. Appendix 3, Departmental Categorical Exclusions, 1.6 Nondest",119,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Ecosystem Management and
516 DM 11.9. D,"43 CFR Part 46.215 or 516 DM 11.9. Department Manual 516 DM 11.9, Section E, Rea","43 CFR Part 46.215 or 516 DM 11.9. Department Manual 516 DM 11.9, Section E, Realty (9), Renewal and assignments of leas",115,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportatio",Agriculture; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Housing; Land Development - Other; Land Use or Forest M
B5.22,DOE 10 CFR 1021 App.B §B5.22,Small-scale renewable energy systems on buildings or previously disturbed land,113,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; Land Development - Other; Land Development - Urban; Manufacturing; Pipelines; Renewable Energy Production - Biomass; 
516 DM 2 A,"None, 43 CFR 46.210 DOI Implementation of NEPA of 1969, Listing of Departmental ","None, 43 CFR 46.210 DOI Implementation of NEPA of 1969, Listing of Departmental Categorical Exclusions (formerly 516 DM2",107,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Cybersecurity; Ecosystem Management and Restoration; Electricity Transmission; Emergency and D
A9 + B5.16,"A9, B5.16","A9, B5.16",107,DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and In",Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Electricity Transmission; Emergency and Disaster Response; Land Development - Housing; Land Development - Other; La
A11 + A9 + B3.1,"A9, A11, B3.1","A9, A11, B3.1",107,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Gas; Conventi
516 DM 11.9 J,"516 DM 11.9 J. Other., 10. Removal of structures and materials of no historical ","516 DM 11.9 J. Other., 10. Removal of structures and materials of no historical value, such as abandoned automobiles, fe",99,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Ecosystem Management and Restoration; Emergency and Disaster Response; Habitat Conservation Plan; Land Development - Other; Land Use or Forest Manag
B1.28,B1.28,B1.28,95,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Data Storage and Data Manag
516 DM 11.5.D,"516 DM 11.5.D (1), effective August 14, 2007, Approval of transfers of grazing p","516 DM 11.5.D (1), effective August 14, 2007, Approval of transfers of grazing preference",91,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management"
A1 + B5.1,"A1, B5.1","A1, B5.1",89,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land D
B1.2,B1.2,B1.2,88,DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology an",Aviation - Airports and Air Traffic; Aviation - Commercial Space; Conventional Energy Production - Nuclear; Cybersecurity; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Respon
B3.15 + B3.6,"B3.6,B3.15","B3.6,B3.15",87,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Aviation - Airports and Air Traffic; Aviation - Commercial Space; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Cybersecurity; Ecosystem Management and Restoration; El
516 DM 11.9.D.1,Section 402(h)(1) of Federal Land Policy and Management Act (FLPMA) as per Instr,"Section 402(h)(1) of Federal Land Policy and Management Act (FLPMA) as per Instruction Memorandum (IM) No. 2015-121, whi",83,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Water and Waste Management,"Agriculture; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management; Renewable Energy Production - Solar; Threatened and Endangered S"
B4.13,B4.13,B4.13,83,DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and In",Broadband; Conventional Energy Production - Coal; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Development - Urban; Mining - Non-Metallic Minerals; Nuclear Technology;
Energy Policy Act 2005 Sec.390(b)(2),"Energy Policy Act of 2005, Section 390, (b)(2) which refers to drilling an oil a","Energy Policy Act of 2005, Section 390, (b)(2) which refers to drilling an oil and gas well at a location or well pad si",82,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Pipelines; Rangeland Management; Surface Transportation - Other; Thre
A1,DOE 10 CFR 1021 App.A §A1,Administrative/procedural actions with no physical disturbance,82,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Management; Ecosystem Management a
B1.13,B1.13,B1.13,76,DOE,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Mana",Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Habitat Conservation Plan; Land Development - Housing; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Manufactur
B3.11,B3.11,B3.11,75,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Produ
B5.7,B5.7,B5.7,73,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Gas; Conventional Energy Production - Other; Laws, Policies, Regulations, and Guidance; Manufacturing; Pipelines; Ports and Waterways; Surface Tr"
B2.3,B2.3,B2.3,72,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management",Conventional Energy Production - Other; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Manufacturing; Military and Defense; Nuclear Technology; Public and Recreational Land Use; Research and Development; Routine 
A9 + B3.6 + B5.15,"A9, B3.6, B5.15","A9, B3.6, B5.15",68,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructur,Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other;
516 DM 11.9 C,"516 DM 11.9 C (8), Salvaging dead or dying trees not to exceed 250 acres, requir","516 DM 11.9 C (8), Salvaging dead or dying trees not to exceed 250 acres, requiring no more than 0.5 mile of temporary r",67,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Habitat Conservation Plan; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Pipelines; Public and Recreational Land 
516 DM 11.9 D.1,"516 DM 11.9 D.1, Appendix 4, Approval of transfers of grazing preference.","516 DM 11.9 D.1, Appendix 4, Approval of transfers of grazing preference.",66,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management"
B5.23,B5.23,B5.23,64,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Ports and Waterways; Public and Recreational Land Use; Renewable Energy Production - Energy Storage; Renewable Energy Production "
516 DM 11.9. E,"516 DM 11.9. E. Realty, 12. Grants of right-of-way wholly within the boundaries ","516 DM 11.9. E. Realty, 12. Grants of right-of-way wholly within the boundaries of other compatibly developed rights-of-",63,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Housing; Land Development - Other; Land Development - Urban; Land Use or F
B1.22,B1.22,B1.22,60,DOE,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Mana",Land Development - Housing; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Manufacturing; Military and Defense; Nuclear Technology; Public and Recreational Land Use; Routine Maintenance; Surface Transportation
516 DM 11.9.E.19,"516 DM 11.9.E.19, Issuance of short-term (3 years or less) rights-of-way or land","516 DM 11.9.E.19, Issuance of short-term (3 years or less) rights-of-way or land use authorization … where the proposal ",59,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Land Development - Other; Land Use or Forest Management Plan; Manufacturing; Pipelines; Public and Recreational Land Use; Research and Development; Surface Transportation - Other; Waste Management; Water Resources - Other
B1.27,B1.27,B1.27,59,DOE,No,,No,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Broadband; Electricity Transmission; Land Development - Other; Nuclear Technology; Pipelines; Routine Maintenance; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Irrigation and Water Supply; Water Resources - Ot"
B1.4,B1.4,B1.4,58,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Broadband; Conventional Energy Production - Nuclear; Cybersecurity; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Manufacturing; Nuclear T
B1.16,B1.16,B1.16,58,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportatio","Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Laws, Policies, Regulations, and Guidance; Military and Defense; Nuclear Technology; Pipelines; Renewable Energy Production - Other; Routine Maintenance; Utilit"
A11 + A9 + B3.1 + B3.6,"A9, A11, B3.1, B3.6","A9, A11, B3.1, B3.6",57,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Cybersecurity; Electricity Transmiss
H-1790-1-National Environmental Policy Act Handboo,"H-1790-1-National Environmental Policy Act Handbook, Appendix 4, page 152, E. Re","H-1790-1-National Environmental Policy Act Handbook, Appendix 4, page 152, E. Realty
13. Amendments to existing rights-o",56,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and In",Agriculture; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Rural Energy; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Use or Forest Man
516 DM 2.3A,"516 DM 2.3A(2) and 516 DM 11.9, D(1), as amended., Transfer of the grazing prefe","516 DM 2.3A(2) and 516 DM 11.9, D(1), as amended., Transfer of the grazing preference on the Dowden Gulch Allotment #041",56,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; L
B3.10 + B3.6,"B3.6, B3.10","B3.6, B3.10",56,DOE,No,,No,"Energy Production and Management; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management",Artificial Intelligence and Machine Learning; Conventional Energy Production - Nuclear; High Performance Computing and Advanced Computer Hardware and Software; Manufacturing; Military and Defense; Mining - Metals; Nuclear Technology; Research and Dev
A11 + B3.6,"A11, B3.6","A11, B3.6",55,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Agriculture; Artificial Intelligence and Machine Learning; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Ga
516 DM 11.9 G,"516 DM 11.9 G (Transportation Signs), (2) “Installation of routine signs, marker","516 DM 11.9 G (Transportation Signs), (2) “Installation of routine signs, markers, culverts, ditches, water bars, gates,",54,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Habitat Conservation Plan; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Rangeland Mana"
B1.11,B1.11,B1.11,53,DOE,No,,No,"Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation ",Agriculture; Cybersecurity; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Law
"DOI Departmental Manual Part 516 Chapter 11.9, E.1","DOI Departmental Manual Part 516 Chapter 11.9, E.19. Issuance of short-term (3 y","DOI Departmental Manual Part 516 Chapter 11.9, E.19. Issuance of short-term (3 years or less) rights-of-way or land use ",51,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin","Broadband; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - "
B3.1 + B3.6,"B3.1, B3.6","B3.1, B3.6",51,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructur,Aviation - Airports and Air Traffic; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production -
516 DM 11.9 F,"516 DM 11.9 F (10), Disposal of mineral materials, such as sand, stone, gravel, ","516 DM 11.9 F (10), Disposal of mineral materials, such as sand, stone, gravel, pumice, pumicite, cinders, and clay, in ",48,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Habitat Conservation Plan; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Law
A9 + B2.5 + B5.1,"A9, B2.5, B5.1","A9, B2.5, B5.1",47,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,Agriculture; Aviation - Airports and Air Traffic; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Other; L
B1.31 + B3.6,"B3.6, B1.31","B3.6, B1.31",44,DOE,No,,No,"Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Managemen",Artificial Intelligence and Machine Learning; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Management; Electricity Transmission; High Performance Computing and Advanced Compute
A1 + B2.5 + B5.1,"B2.5, B5.1, A1","B2.5, B5.1, A1",44,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,"Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Rural Energy; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance;"
A1 + A11 + A9 + B2.5 + B5.1,"A1, A9, A11, B2.5, B5.1","A1, A9, A11, B2.5, B5.1",43,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; High Performance Computing and Advanced Comput
A9 + B3.1 + B3.6,"A9, B3.1, B3.6","A9, B3.1, B3.6",43,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Ecosystem Management and Rest
516 DM 11.5 E,"516 DM 11.5 E (9), Renewals and assignments of leases, permits, or rights-of-way","516 DM 11.5 E (9), Renewals and assignments of leases, permits, or rights-of-way where no additional rights are conveyed",42,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Development - Urban; 
B3.11 + B3.6,"B3.6, B3.11","B3.6, B3.11",42,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrast",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Produ
A11,DOE 10 CFR 1021 App.A §A11,"Financial assistance for data collection, assessments, studies — no direct physical disturbance",42,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Data Storage and Data Management; Ecosystem Management and Restoration; Electricit
